Name,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Off,Performance_PKcon,Performance_OG,Err
Kristoffer Ajer,32.0,1.0,0.0,160.0,4.0,1.0,1.0,1.0
Krépin Diatta,17.0,0.0,0.0,120.0,32.0,0.0,0.0,0.0
Kurt Zouma,24.0,2.0,1.0,181.0,4.0,2.0,1.0,7.0
Kyle Walker,62.0,2.0,1.0,352.0,21.0,4.0,1.0,7.0
Kylian Mbappé,35.0,1.0,0.0,142.0,208.0,0.0,0.0,1.0
Kévin Gameiro,10.0,1.0,0.0,244.0,119.0,0.0,0.0,0.0
Kévin N'Doram,19.0,0.0,0.0,122.0,0.0,0.0,0.0,1.0
Kévin Van Den Kerkhof,7.0,0.0,0.0,26.0,7.0,0.0,0.0,1.0
Lameck Banda,14.0,1.0,0.0,45.0,11.0,0.0,0.0,0.0
Lamine Camara,5.0,2.0,1.0,54.0,2.0,0.0,0.0,0.0
Lamine Diack,7.0,0.0,0.0,55.0,0.0,0.0,1.0,0.0
Lamine Yamal,3.0,0.0,0.0,27.0,7.0,0.0,0.0,0.0
Largie Ramazani,31.0,2.0,2.0,130.0,37.0,1.0,0.0,0.0
Lassana Coulibaly,34.0,1.0,0.0,227.0,4.0,1.0,0.0,2.0
Lasse Wilhelm,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Laurent Abergel,59.0,4.0,2.0,346.0,2.0,2.0,0.0,5.0
Lautaro Gianetti,6.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0
Lautaro Martínez,31.0,1.0,0.0,282.0,76.0,1.0,0.0,1.0
Layvin Kurzawa,24.0,2.0,0.0,201.0,11.0,0.0,0.0,4.0
Lazar Samardzic,5.0,0.0,0.0,74.0,0.0,1.0,0.0,0.0
Leander Dendoncker,32.0,3.0,0.0,147.0,7.0,1.0,3.0,9.0
Leandro Barreiro Martins,49.0,0.0,0.0,242.0,6.0,4.0,0.0,2.0
Leandro Paredes,70.0,4.0,2.0,209.0,0.0,3.0,1.0,7.0
